timestamp,datetime,pwm_right,vel_right
1757616564.0682204,2025-09-11 15:49:24.068,185,0.03
1757616564.0894866,2025-09-11 15:49:24.089,185,0.03
1757616564.120782,2025-09-11 15:49:24.120,185,0.03
1757616564.1524644,2025-09-11 15:49:24.152,185,0.03
1757616564.1839235,2025-09-11 15:49:24.183,185,0.05
1757616564.2154832,2025-09-11 15:49:24.215,185,0.05
1757616564.2367237,2025-09-11 15:49:24.236,185,0.05
1757616564.2682374,2025-09-11 15:49:24.268,185,0.05
1757616564.2998137,2025-09-11 15:49:24.299,185,0.09
1757616564.3312616,2025-09-11 15:49:24.331,185,0.09
1757616564.3621542,2025-09-11 15:49:24.362,185,0.09
1757616564.3833838,2025-09-11 15:49:24.383,185,0.09
1757616564.4148138,2025-09-11 15:49:24.414,185,0.1
1757616564.4461353,2025-09-11 15:49:24.446,185,0.1
1757616564.4773858,2025-09-11 15:49:24.477,185,0.1
1757616564.508603,2025-09-11 15:49:24.508,185,0.1
1757616564.529758,2025-09-11 15:49:24.529,185,0.12
1757616564.5611572,2025-09-11 15:49:24.561,185,0.12
1757616564.5927198,2025-09-11 15:49:24.592,185,0.12
1757616564.6243749,2025-09-11 15:49:24.624,185,0.12
1757616564.6557684,2025-09-11 15:49:24.655,185,0.13
1757616564.6769829,2025-09-11 15:49:24.676,185,0.13
1757616564.7083955,2025-09-11 15:49:24.708,185,0.13
1757616564.739916,2025-09-11 15:49:24.739,185,0.13
1757616564.771519,2025-09-11 15:49:24.771,185,0.13
1757616564.8030715,2025-09-11 15:49:24.803,185,0.13
1757616564.8242958,2025-09-11 15:49:24.824,185,0.13
1757616564.85563,2025-09-11 15:49:24.855,185,0.13
1757616564.8870623,2025-09-11 15:49:24.887,185,0.15
1757616564.9184926,2025-09-11 15:49:24.918,185,0.15
1757616564.9397748,2025-09-11 15:49:24.939,185,0.15
1757616564.9712539,2025-09-11 15:49:24.971,185,0.15
1757616565.0028195,2025-09-11 15:49:25.002,185,0.15
1757616565.0345588,2025-09-11 15:49:25.034,185,0.15
1757616565.066356,2025-09-11 15:49:25.066,185,0.15
1757616565.0878258,2025-09-11 15:49:25.087,185,0.15
1757616565.1195147,2025-09-11 15:49:25.119,185,0.15
1757616565.1512425,2025-09-11 15:49:25.151,185,0.15
1757616565.1830113,2025-09-11 15:49:25.183,185,0.15
1757616565.204426,2025-09-11 15:49:25.204,185,0.15
1757616565.2356582,2025-09-11 15:49:25.235,185,0.16
1757616565.266993,2025-09-11 15:49:25.266,185,0.16
1757616565.2982743,2025-09-11 15:49:25.298,185,0.16
1757616565.3298154,2025-09-11 15:49:25.329,185,0.16
1757616565.3510907,2025-09-11 15:49:25.351,185,0.17
1757616565.3824234,2025-09-11 15:49:25.382,185,0.17
1757616565.4136999,2025-09-11 15:49:25.413,185,0.17
1757616565.444985,2025-09-11 15:49:25.444,185,0.17
1757616565.4764364,2025-09-11 15:49:25.476,185,0.17
1757616565.4976645,2025-09-11 15:49:25.497,185,0.17
1757616565.5291045,2025-09-11 15:49:25.529,185,0.17
1757616565.5604584,2025-09-11 15:49:25.560,185,0.17
1757616565.5917811,2025-09-11 15:49:25.591,185,0.15
1757616565.6230698,2025-09-11 15:49:25.623,185,0.15
1757616565.644301,2025-09-11 15:49:25.644,185,0.15
1757616565.6755693,2025-09-11 15:49:25.675,185,0.15
1757616565.7070827,2025-09-11 15:49:25.707,185,0.15
1757616565.7385979,2025-09-11 15:49:25.738,185,0.15
1757616565.7702296,2025-09-11 15:49:25.770,185,0.15
1757616565.7914937,2025-09-11 15:49:25.791,185,0.15
1757616565.8228369,2025-09-11 15:49:25.822,185,0.16
1757616565.8541696,2025-09-11 15:49:25.854,185,0.16
1757616565.885438,2025-09-11 15:49:25.885,185,0.16
1757616565.9161363,2025-09-11 15:49:25.916,185,0.16
1757616565.9371583,2025-09-11 15:49:25.937,185,0.16
1757616565.9683592,2025-09-11 15:49:25.968,185,0.16
1757616565.9998765,2025-09-11 15:49:25.999,185,0.16
1757616566.0313866,2025-09-11 15:49:26.031,185,0.16
1757616566.0626888,2025-09-11 15:49:26.062,185,0.16
1757616566.0839024,2025-09-11 15:49:26.083,185,0.16
1757616566.1149144,2025-09-11 15:49:26.114,185,0.16
1757616566.1463618,2025-09-11 15:49:26.146,185,0.16
1757616566.1778138,2025-09-11 15:49:26.177,185,0.17
1757616566.2093782,2025-09-11 15:49:26.209,185,0.17
1757616566.2306454,2025-09-11 15:49:26.230,185,0.17
1757616566.2618864,2025-09-11 15:49:26.261,185,0.17
1757616566.2931345,2025-09-11 15:49:26.293,185,0.16
1757616566.3236933,2025-09-11 15:49:26.323,185,0.16
1757616566.354912,2025-09-11 15:49:26.354,185,0.16
1757616566.3864384,2025-09-11 15:49:26.386,185,0.16
1757616566.4075758,2025-09-11 15:49:26.407,185,0.15
1757616566.4389205,2025-09-11 15:49:26.438,185,0.15
1757616566.4702415,2025-09-11 15:49:26.470,185,0.15
1757616566.5018017,2025-09-11 15:49:26.501,185,0.15
1757616566.5332623,2025-09-11 15:49:26.533,185,0.16
1757616566.5544488,2025-09-11 15:49:26.554,185,0.16
1757616566.5857959,2025-09-11 15:49:26.585,185,0.16
1757616566.617098,2025-09-11 15:49:26.617,185,0.16
1757616566.6477473,2025-09-11 15:49:26.647,185,0.16
1757616566.6790042,2025-09-11 15:49:26.679,185,0.16
1757616566.7000377,2025-09-11 15:49:26.700,185,0.16
1757616566.7315743,2025-09-11 15:49:26.731,185,0.16
1757616566.7629,2025-09-11 15:49:26.762,185,0.17
1757616566.794272,2025-09-11 15:49:26.794,185,0.17
1757616566.8255625,2025-09-11 15:49:26.825,185,0.17
1757616566.8467917,2025-09-11 15:49:26.846,185,0.17
1757616566.8780773,2025-09-11 15:49:26.878,185,0.16
1757616566.9094834,2025-09-11 15:49:26.909,185,0.16
1757616566.940788,2025-09-11 15:49:26.940,185,0.16
1757616566.9725418,2025-09-11 15:49:26.972,185,0.16
1757616566.9936416,2025-09-11 15:49:26.993,190,0.16
1757616567.0251749,2025-09-11 15:49:27.025,190,0.16
1757616567.0566418,2025-09-11 15:49:27.056,190,0.16
1757616567.0880802,2025-09-11 15:49:27.088,190,0.16
1757616567.1196296,2025-09-11 15:49:27.119,190,0.17
1757616567.1408834,2025-09-11 15:49:27.140,190,0.17
1757616567.172396,2025-09-11 15:49:27.172,190,0.17
1757616567.20399,2025-09-11 15:49:27.203,190,0.17
1757616567.2354426,2025-09-11 15:49:27.235,190,0.18
1757616567.2566926,2025-09-11 15:49:27.256,190,0.18
1757616567.2883554,2025-09-11 15:49:27.288,190,0.18
1757616567.3200138,2025-09-11 15:49:27.320,190,0.18
1757616567.3516738,2025-09-11 15:49:27.351,190,0.18
1757616567.3833008,2025-09-11 15:49:27.383,190,0.18
1757616567.4045198,2025-09-11 15:49:27.404,190,0.18
1757616567.4358456,2025-09-11 15:49:27.435,190,0.18
1757616567.4671218,2025-09-11 15:49:27.467,190,0.17
1757616567.4985363,2025-09-11 15:49:27.498,190,0.17
1757616567.5298846,2025-09-11 15:49:27.529,190,0.17
1757616567.5510445,2025-09-11 15:49:27.551,190,0.17
1757616567.5827816,2025-09-11 15:49:27.582,190,0.17
1757616567.614402,2025-09-11 15:49:27.614,190,0.17
1757616567.6457295,2025-09-11 15:49:27.645,190,0.17
1757616567.6770754,2025-09-11 15:49:27.677,190,0.17
1757616567.69826,2025-09-11 15:49:27.698,190,0.18
1757616567.7294457,2025-09-11 15:49:27.729,190,0.18
1757616567.7607,2025-09-11 15:49:27.760,190,0.18
1757616567.7922597,2025-09-11 15:49:27.792,190,0.18
1757616567.8238826,2025-09-11 15:49:27.823,190,0.17
1757616567.8451736,2025-09-11 15:49:27.845,190,0.17
1757616567.8765895,2025-09-11 15:49:27.876,190,0.17
1757616567.9080613,2025-09-11 15:49:27.908,190,0.17
1757616567.938747,2025-09-11 15:49:27.938,190,0.19
1757616567.9699745,2025-09-11 15:49:27.969,190,0.19
1757616567.991131,2025-09-11 15:49:27.991,190,0.19
1757616568.0226164,2025-09-11 15:49:28.022,190,0.19
1757616568.0541823,2025-09-11 15:49:28.054,190,0.18
1757616568.0856571,2025-09-11 15:49:28.085,190,0.18
1757616568.1173763,2025-09-11 15:49:28.117,190,0.18
1757616568.1386683,2025-09-11 15:49:28.138,190,0.18
1757616568.170076,2025-09-11 15:49:28.170,190,0.18
1757616568.2014453,2025-09-11 15:49:28.201,190,0.18
1757616568.232996,2025-09-11 15:49:28.232,190,0.18
1757616568.254309,2025-09-11 15:49:28.254,190,0.18
1757616568.2857866,2025-09-11 15:49:28.285,190,0.18
1757616568.317538,2025-09-11 15:49:28.317,190,0.18
1757616568.3491507,2025-09-11 15:49:28.349,190,0.18
1757616568.3807075,2025-09-11 15:49:28.380,190,0.18
1757616568.4021924,2025-09-11 15:49:28.402,190,0.18
1757616568.4339201,2025-09-11 15:49:28.433,190,0.18
1757616568.4653602,2025-09-11 15:49:28.465,190,0.18
1757616568.496987,2025-09-11 15:49:28.496,190,0.18
1757616568.5184236,2025-09-11 15:49:28.518,190,0.18
1757616568.5501385,2025-09-11 15:49:28.550,190,0.18
1757616568.5818353,2025-09-11 15:49:28.581,190,0.18
1757616568.6136074,2025-09-11 15:49:28.613,190,0.18
1757616568.6452892,2025-09-11 15:49:28.645,190,0.18
1757616568.666685,2025-09-11 15:49:28.666,190,0.18
1757616568.6982825,2025-09-11 15:49:28.698,190,0.18
1757616568.729892,2025-09-11 15:49:28.729,190,0.18
1757616568.761654,2025-09-11 15:49:28.761,190,0.19
1757616568.7831075,2025-09-11 15:49:28.783,190,0.19
1757616568.8147225,2025-09-11 15:49:28.814,190,0.19
1757616568.8463252,2025-09-11 15:49:28.846,190,0.19
1757616568.8780682,2025-09-11 15:49:28.878,190,0.19
1757616568.8994663,2025-09-11 15:49:28.899,190,0.19
1757616568.9310613,2025-09-11 15:49:28.931,190,0.19
1757616568.962786,2025-09-11 15:49:28.962,190,0.19
1757616568.994287,2025-09-11 15:49:28.994,190,0.19
1757616569.0260296,2025-09-11 15:49:29.026,190,0.19
1757616569.0473258,2025-09-11 15:49:29.047,190,0.19
1757616569.0788898,2025-09-11 15:49:29.078,190,0.19
1757616569.110173,2025-09-11 15:49:29.110,190,0.18
1757616569.1414666,2025-09-11 15:49:29.141,190,0.18
1757616569.1727629,2025-09-11 15:49:29.172,190,0.18
1757616569.1939633,2025-09-11 15:49:29.193,190,0.18
1757616569.2252698,2025-09-11 15:49:29.225,190,0.18
1757616569.2565315,2025-09-11 15:49:29.256,190,0.18
1757616569.2881877,2025-09-11 15:49:29.288,190,0.18
1757616569.3198304,2025-09-11 15:49:29.319,190,0.18
1757616569.3412926,2025-09-11 15:49:29.341,190,0.18
1757616569.3728244,2025-09-11 15:49:29.372,190,0.18
1757616569.4042747,2025-09-11 15:49:29.404,190,0.18
1757616569.4355679,2025-09-11 15:49:29.435,190,0.18
1757616569.4567814,2025-09-11 15:49:29.456,190,0.18
1757616569.4881134,2025-09-11 15:49:29.488,190,0.18
1757616569.5196764,2025-09-11 15:49:29.519,190,0.18
1757616569.551014,2025-09-11 15:49:29.551,190,0.18
1757616569.5822597,2025-09-11 15:49:29.582,190,0.19
1757616569.6033359,2025-09-11 15:49:29.603,190,0.19
1757616569.6346672,2025-09-11 15:49:29.634,190,0.19
1757616569.6661217,2025-09-11 15:49:29.666,190,0.19
1757616569.69773,2025-09-11 15:49:29.697,190,0.18
1757616569.7294736,2025-09-11 15:49:29.729,190,0.18
1757616569.7509289,2025-09-11 15:49:29.750,190,0.18
1757616569.782658,2025-09-11 15:49:29.782,190,0.18
1757616569.8143077,2025-09-11 15:49:29.814,190,0.18
1757616569.8460033,2025-09-11 15:49:29.846,190,0.18
1757616569.867475,2025-09-11 15:49:29.867,190,0.18
1757616569.8990679,2025-09-11 15:49:29.899,190,0.18
1757616569.9304829,2025-09-11 15:49:29.930,190,0.18
1757616569.9619765,2025-09-11 15:49:29.961,190,0.18
1757616569.9931555,2025-09-11 15:49:29.993,190,0.18
1757616570.0143557,2025-09-11 15:49:30.014,195,0.18
1757616570.045723,2025-09-11 15:49:30.045,195,0.18
1757616570.077301,2025-09-11 15:49:30.077,195,0.18
1757616570.108667,2025-09-11 15:49:30.108,195,0.18
1757616570.1402388,2025-09-11 15:49:30.140,195,0.18
1757616570.1614878,2025-09-11 15:49:30.161,195,0.2
1757616570.193063,2025-09-11 15:49:30.193,195,0.2
1757616570.2246416,2025-09-11 15:49:30.224,195,0.2
1757616570.256284,2025-09-11 15:49:30.256,195,0.2
1757616570.2777264,2025-09-11 15:49:30.277,195,0.19
1757616570.3094823,2025-09-11 15:49:30.309,195,0.19
1757616570.3412416,2025-09-11 15:49:30.341,195,0.19
1757616570.3728862,2025-09-11 15:49:30.372,195,0.19
1757616570.4044926,2025-09-11 15:49:30.404,195,0.2
1757616570.4259167,2025-09-11 15:49:30.425,195,0.2
1757616570.4575257,2025-09-11 15:49:30.457,195,0.2
1757616570.4891212,2025-09-11 15:49:30.489,195,0.2
1757616570.520565,2025-09-11 15:49:30.520,195,0.21
1757616570.541812,2025-09-11 15:49:30.541,195,0.21
1757616570.5733652,2025-09-11 15:49:30.573,195,0.21
1757616570.6049428,2025-09-11 15:49:30.604,195,0.21
1757616570.6364052,2025-09-11 15:49:30.636,195,0.2
1757616570.6679337,2025-09-11 15:49:30.667,195,0.2
1757616570.6892235,2025-09-11 15:49:30.689,195,0.2
1757616570.7207649,2025-09-11 15:49:30.720,195,0.2
1757616570.7523706,2025-09-11 15:49:30.752,195,0.19
1757616570.7838411,2025-09-11 15:49:30.783,195,0.19
1757616570.815287,2025-09-11 15:49:30.815,195,0.19
1757616570.8365557,2025-09-11 15:49:30.836,195,0.19
1757616570.8679707,2025-09-11 15:49:30.867,195,0.2
1757616570.8993962,2025-09-11 15:49:30.899,195,0.2
1757616570.9308207,2025-09-11 15:49:30.930,195,0.2
1757616570.962132,2025-09-11 15:49:30.962,195,0.2
1757616570.9833515,2025-09-11 15:49:30.983,195,0.2
1757616571.0147743,2025-09-11 15:49:31.014,195,0.2
1757616571.046112,2025-09-11 15:49:31.046,195,0.2
1757616571.0777562,2025-09-11 15:49:31.077,195,0.2
1757616571.0991304,2025-09-11 15:49:31.099,195,0.2
1757616571.1307433,2025-09-11 15:49:31.130,195,0.2
1757616571.162311,2025-09-11 15:49:31.162,195,0.2
1757616571.1939068,2025-09-11 15:49:31.193,195,0.2
1757616571.2255259,2025-09-11 15:49:31.225,195,0.21
1757616571.2469537,2025-09-11 15:49:31.246,195,0.21
1757616571.278624,2025-09-11 15:49:31.278,195,0.21
1757616571.3101337,2025-09-11 15:49:31.310,195,0.21
1757616571.3418515,2025-09-11 15:49:31.341,195,0.2
1757616571.363316,2025-09-11 15:49:31.363,195,0.2
1757616571.3950775,2025-09-11 15:49:31.395,195,0.2
1757616571.4266956,2025-09-11 15:49:31.426,195,0.2
1757616571.4584186,2025-09-11 15:49:31.458,195,0.2
1757616571.4897356,2025-09-11 15:49:31.489,195,0.2
1757616571.510954,2025-09-11 15:49:31.510,195,0.2
1757616571.5424874,2025-09-11 15:49:31.542,195,0.2
1757616571.5730674,2025-09-11 15:49:31.573,195,0.2
1757616571.6042793,2025-09-11 15:49:31.604,195,0.2
1757616571.6357028,2025-09-11 15:49:31.635,195,0.2
1757616571.656606,2025-09-11 15:49:31.656,195,0.2
1757616571.6879954,2025-09-11 15:49:31.687,195,0.21
1757616571.719366,2025-09-11 15:49:31.719,195,0.21
1757616571.7507358,2025-09-11 15:49:31.750,195,0.21
1757616571.7821996,2025-09-11 15:49:31.782,195,0.21
1757616571.8034549,2025-09-11 15:49:31.803,195,0.2
1757616571.8348732,2025-09-11 15:49:31.834,195,0.2
1757616571.866185,2025-09-11 15:49:31.866,195,0.2
1757616571.897603,2025-09-11 15:49:31.897,195,0.2
1757616571.929039,2025-09-11 15:49:31.929,195,0.21
1757616571.9502938,2025-09-11 15:49:31.950,195,0.21
1757616571.981976,2025-09-11 15:49:31.981,195,0.21
1757616572.0130503,2025-09-11 15:49:32.013,195,0.21
